candel_date_time,close,prc_close,prp_close,tlc_close,tlp_close,tlpr_close,tlcr_close,tlctr_close,tlptr_close
2023-02-10 06:00:00,28354000.0,28151344.50158228,28287428.552827224,28602366.0,28431734.0,28360288.0,28386214.0,28440872.0,28581882.0
2023-02-10 07:00:00,28428000.0,28279733.75158228,28440173.020072386,28511722.0,28332678.0,28246102.0,28272064.0,28292322.0,28485968.0
2023-02-10 08:00:00,28193000.0,28017866.12658228,28207440.936563864,28640052.0,28344030.0,28238124.0,28444932.0,28347174.0,28496850.0
2023-02-10 09:00:00,27980000.0,27781673.00158228,28037209.68055506,28378286.0,28262384.0,28172216.0,28220940.0,28208916.0,28428562.0
2023-02-10 10:00:00,28292000.0,28311548.87658228,28198258.198154584,28162924.0,28063584.0,27997146.0,27999250.0,28049068.0,28234568.0
2023-02-10 11:00:00,28248000.0,28229743.87658228,28286373.73364465,28578604.0,28054878.0,27957808.0,28491914.0,28362358.0,28199492.0
2023-02-10 12:00:00,28014000.0,27989623.37658228,28075798.63923593,28451726.0,28209146.0,28080306.0,28433384.0,28437748.0,28356620.0
2023-02-10 13:00:00,28020000.0,27948284.25158228,27985577.623315647,28185406.0,28139294.0,28041110.0,28178420.0,28331340.0,28288236.0
2023-02-10 14:00:00,28090000.0,28022828.12658228,28043781.988583043,28152674.0,27990890.0,27911964.0,28096334.0,28269640.0,28133502.0
2023-02-10 15:00:00,28140000.0,28067163.87658228,28123119.01884609,28245064.0,27996894.0,27891320.0,28146780.0,28291838.0,28137710.0
2023-02-10 16:00:00,28238000.0,28188686.25158228,28199548.57472889,28300744.0,28062248.0,27931340.0,28188742.0,28329526.0,28200420.0
2023-02-10 17:00:00,28145000.0,28059162.25158228,28195322.26272197,28413306.0,28118270.0,27999248.0,28309136.0,28433606.0,28270100.0
2023-02-10 18:00:00,28132000.0,28010312.25158228,28181182.14698936,28290334.0,28159248.0,28055516.0,28198826.0,28385942.0,28318226.0
2023-02-10 19:00:00,28150000.0,28014500.87658228,28107719.21679449,28258840.0,28130960.0,28032942.0,28153086.0,28334450.0,28282286.0
2023-02-10 20:00:00,28008000.0,27855006.56408228,28054940.68056476,28289212.0,28087918.0,27991290.0,28164820.0,28310058.0,28241128.0
2023-02-10 21:00:00,28052000.0,27909702.62658228,28074808.58600703,28145294.0,28058034.0,27965940.0,28012612.0,28168802.0,28217784.0
2023-02-10 22:00:00,28096000.0,27963652.12658228,28147200.86173409,28211048.0,28018844.0,27917496.0,28067162.0,28147554.0,28167658.0
2023-02-10 23:00:00,28223000.0,28133086.25158228,28228987.21367876,28270948.0,28054372.0,27940190.0,28134370.0,28171860.0,28207358.0
2023-02-11 00:00:00,28038000.0,27967084.87658228,28052868.87421553,28441354.0,28113842.0,27999322.0,28320420.0,28324670.0,28272602.0
2023-02-11 01:00:00,27995000.0,27917968.18908228,28056277.38557899,28196734.0,28089000.0,28006240.0,28102704.0,28214162.0,28261940.0
2023-02-11 02:00:00,28109000.0,28045852.31408228,28077432.218209837,28141336.0,28025524.0,27936142.0,28019626.0,28126476.0,28178444.0
2023-02-11 03:00:00,28093000.0,28031281.50158228,28124964.173330978,28321256.0,28009688.0,27901184.0,28170408.0,28213178.0,28159960.0
2023-02-11 04:00:00,28124000.0,28064459.93908228,28126459.0117908,28287386.0,28070422.0,27939382.0,28142816.0,28216816.0,28221074.0
2023-02-11 05:00:00,28080000.0,28020377.37658228,28121124.40921332,28320054.0,28079108.0,27952022.0,28170948.0,28252164.0,28231214.0
2023-02-11 06:00:00,27956000.0,27904639.50158228,27978249.901137307,28262912.0,28085764.0,27961782.0,28108878.0,28217326.0,28239622.0
2023-02-11 07:00:00,28023000.0,27976805.81408228,28029650.51666802,28123708.0,28001202.0,27905582.0,27957548.0,28083322.0,28162884.0
2023-02-11 08:00:00,28120000.0,28077219.68908228,28110146.44546725,28242100.0,27960792.0,27860460.0,28058110.0,28111406.0,28116792.0
2023-02-11 09:00:00,28247000.0,28192250.56408228,28188630.91256972,28378360.0,28018892.0,27899442.0,28206328.0,28235436.0,28177796.0
2023-02-11 10:00:00,28176000.0,28120072.93908228,28182428.4553598,28519196.0,28086968.0,27996582.0,28369344.0,28413572.0,28271160.0
2023-02-11 11:00:00,28175000.0,28122043.68908228,28117568.20433356,28387842.0,28129884.0,28058556.0,28267920.0,28409258.0,28313380.0
2023-02-11 12:00:00,28206000.0,28154531.93908228,28241336.411289945,28390680.0,28086536.0,28022668.0,28250370.0,28409136.0,28259596.0
2023-02-11 13:00:00,28208000.0,28156443.75158228,28253005.922972515,28453158.0,28126582.0,28064816.0,28288692.0,28436002.0,28311460.0
2023-02-11 14:00:00,28202000.0,28141426.37658228,28224987.70849253,28457568.0,28164180.0,28087510.0,28290506.0,28440772.0,28332978.0
2023-02-11 15:00:00,28158000.0,28092770.12658228,28150737.03174801,28439738.0,28161682.0,28084954.0,28276114.0,28427050.0,28329452.0
